Item ID,Item Description,Qty on Hand,Avg Cost,Item Value
IT-424233,Quicken Premier 2015,,106.79,
IT-424257,Quicken Deluxe 2015,1.00,63.53,63.53
IT-424259,INTUIT QUICKBOOKS PRO 2015 3-U,,411.38,
IT-424261,QUICKBOOKS PREMIER 2015 3U ESD,,755.70,
IT-424382,QUICK BOOKS PRO 2015 WIN,23.00,190.39,"4,379.08"
IT-424398,QuickBooks Premier 2015 - 1 Us,,280.00,
IT-424401,QuickBooks Simple Start 2015,,79.29,
IT-430003,Quickbooks Simple Start 2011,,85.00,
IT-431311,QUICKBOOKS PREMIER 2012,,,
IT-431312,QUICKBOOKS PREM INDUSTRY 2012,,210.00,
IT-431325,QUICKEN DELUXE 2012,,25.00,
IT-433034,Quicken Starter Edition 2015,,20.00,
IY-DN5DVD,Descriptions Now 5.13.12,,160.71,
IY-OP12PROF100,ORGPLUS 2012 PRO 100 U,,252.13,
IY-OP12PROF250,ORGPLUS 2012 PRO 250 USERS,,422.89,
IY-OP12STD,ORGPLUS 2012 STANDARD,,155.22,
IY-PF4DVD,Performance Now 4.1.12,,162.23,
IY-PN6DVD,Policies Now 6.1.11,,,
IY-UEDVD,Ultimate Employer 2,,405.25,
IY-UEPDVD,Ultimate Employer Professional,,523.95,
KA-KAV1103121,Kaspersky Anti-Virus 2011 (3PC,,22.00,
KA-KAV1203121USZZ,KASPERSKY AV 2012 3U,,,
KA-KAV1303121USZZ,Kaspersky Anti-Virus 2013,,21.73,
KA-KAV1501111USNO,Kaspersky Anti-Virus 2015 1 Us,1.00,20.00,20.00
KA-KAV1503121USZZ,Kaspersky Antivirus 2015 - 3 P,20.00,25.71,514.21
KA-KIS1103121,KASPRESKY IS 2011 3U,,16.00,
KA-KIS1203121USZZ,KASPERSKY IS 2012 3U,,16.00,
KA-KIS1303121USZZ,KASPERSKY IS 2013 3U,,,
KA-KIS1303121USZZFBA,KASPERSKY INTERNET SECURITY 20,,23.58,
KA-KIS1403121USZZ,KASPERSKY INTERNET SEC 14 3U,,30.00,
KA-KL1091ACAFS,INT SEC ANDROID 1 YR 1 DEV,,11.33,
KA-KL1143ACCDS,ANTIVIRUS 2012 2YR 3U,,71.96,
KA-KL1149ACCDR,ANTIVIRUS 2013 2YR RNWL 3U,,55.96,
KA-KL1149ACCDS,ANTIVIRUS 2013 2YR 3U,,69.96,
KA-KL1149ACCTS,ANTIVIRUS 2013 3YR 3 U,,95.96,
KA-KL1149ACETS,ANTI-VIRUS 2013 3 YEARS 5 USER,,159.96,
KA-KL1149ACKDR,AV 2013 2YR RENEWAL 10USERS,,151.96,
KA-KL1149ACKDS,ANTIVIRUS 2013 2YR 10U,,215.96,
KA-KL1149ACKFS,KA ANTIVIRUS 2013 1YR 10U,,141.69,
KA-KL1154ACAFR,AV 2014  1YR RENEWAL 1PC,,26.70,
KA-KL1154ACAFS,AV 2014 1YR 1 PC,,30.38,
KA-KL1154ACCDS,KASPERSKY AV 2014 2YR 3PC,,68.41,
KA-KL1154ACCFS,Anti-Virus 2014 - 1 Year (3 PC,,45.59,
KA-KL1154ACCTS,AV 2014 3YR 3PC,,90.75,
KA-KL1154ACEDR,AV 2014 2YR 5PC RENEWAL,,83.79,
KA-KL1154ACEDS,AV 2013 2 YR 5 PC,,113.39,
KA-KL1154ACEFS,AV 2014 US ED 5 DT 1YR,,76.02,
KA-KL1154ACETS,AV 2014 3YR 5PC,,151.19,
KA-KL1154ACKDS,AV 2014 US ED 10 DT 2YR,,204.12,
KA-KL1154ACKFS,KASPERSKY AV 2014 1YR 10 PC,,136.86,
KA-KL1154ACKTS,AV 2014 3 YR 10PC,,273.76,
KA-KL1161ACAFS,ANTIVIRUS 2015 LICENSE,,30.62,
KA-KL1161ACKFR,KSPRSKY AV 2015 MAIN RNW 10PC,,102.03,
KA-KL1215ACAFS,ANTIVIRUS FOR MAC 1 YEAR,,29.96,
KA-KL1226ACCFS,SECURITY FOR MAC 2014 1YR 3U,,45.59,
KA-KL1843ACCTS,INTERNT SECURITY 2012 3YR 3USR,,127.96,
KA-KL1843ACEDR,INTERNET SEC 2012 RNWL 2YR 5U,,111.96,
KA-KL1843ACKDR,KIS 2012 US 10 DT 2 YR RNWL,,175.96,
KA-KL1843ACKFR,INT SEC 2011 10PC 1YR RNWL,,134.19,
KA-KL1843ACKTR,INTERNET SEC 2012 3YR 10U RNWL,,271.96,
KA-KL1849ACCDR,INTERNET SECURITY 2013 2YR 3U,,71.96,
KA-KL1849ACCFS,INTERNET SECURITY 2013 1YR 3U,,60.45,
KA-KL1849ACCTS,INTERNET SECURITY 2012 3YR 3U,,127.96,
KA-KL1849ACETR,INET SEC 2013 3YR 5U RNWL,,136.86,
KA-KL1849ACKDR,INTERNET SECURITY 2013 2Y RNW,,175.96,
KA-KL1849ACKDS,INTERNET SEC 2013 2YR RNWL 10U,,287.96,
KA-KL1849ACKFS,INTERNET SECURITY 2013 1Y10U,,191.96,
KA-KL1854ACAFS,KASPERSKY INTERNET SEC 2014 1U,,45.59,
KA-KL1854ACEFS,INTERNET SECURITY 2014 1YR 5U,,98.83,
KA-KL1854ACETR,INTERNT SEC 2014 RENEWAL,,136.79,
KA-KL1854acKFS,INTERNET SEC 2014 1YR 10USR,,181.54,
KA-KL1861ACAFS,KASPERSKY INTERNET SEC 2015,,45.62,
KA-KL1931ACCDS,Kaspersky ONE-3DEV 2YR,,94.68,
KA-KL1931ACCFS,KASPERSKY ONE - 3 DEV - 1 YR,,63.11,
KA-KL1931ACCTS,Kaspersky ONE - 3 DVC 3 YRS,,120.59,
KA-KL1931ACEFS,KA ONE 5 DEVICE 1 YR,,75.57,
KA-KL1931ACKDS,KASPERSKY ONE 2YR 10 DEV,,157.83,
KA-KL1931ACKFS,KA ONE 10 DEVICE 1 YR,,113.39,
KA-KL1931ACKTS,ONE - 10 DEVICES 3 YEARS,,204.12,
KA-KL2128ACKFS,OFFICE SECURITY 10U LIC,,252.51,
KA-KL2528ACEFR,KSOS 2 PC+FS 5-WS + 1-S RNWL,,94.61,
KA-KL2528ACEFS,KSOS 2 FOR PC+FS US 5-WS + 1-S,,139.97,
KA-KL2528ACKFR,KSOS 2 PC+FS 10-WS + 1-S RNWL,,193.37,
KA-KL2528ACKFS,SMALL OFFICE SEC 1SVR 10PC,,301.73,
KA-KL4528ACEFR,SMALL OFFICE SEC RENEWAL,,78.02,
KA-KL4528ACEFS,SMLL OFF SECURITY 5DVC 1YR,,103.67,
KA-KL4528ACETS,KSE SMLL OFFICE SEC 3YR SUB,,207.18,
KA-KL4528ACKFS,SMALL OFFICE SECURITY 1 YR,,192.85,
KA-KL4528ACPFS,SMALL OFFICE SECURITY,,400.10,
KA-KL4853AAKFS,KOSS 10-14U WS-SVR SEC 1YR+MNT,,25.95,
KA-KL4853AAMFS,BUS SPACE SEC 1YR 15-19U,,28.49,
KA-KL4853AAPFS,BUSINESS SPACE SEC 25-49 USER,,20.91,
KA-KL4853AAQFA,KOSS 50-99 U WS/SVR,,21.89,
KA-KL4853AAQFS,BUS SPC SEC 1YR 50-99,,19.51,
KA-KL4853AARFA,BUSINESS SPACE SEC PRM 100-149,,29.04,
KA-KL4853ACEFS,BUS SPC SEC 5 LIC 1YR,,138.92,
KA-KL4857AAKFS,ENTERPRISE SEC STD 10-14,,31.36,
KA-KL4857AANFS,ENTERPRISE SEC + STD MNT 20-24,,27.84,
KA-KL4857AAPFS,ENT SPC SEC STD MNT 1 YR 25-49,,26.39,
KA-KL4857AAQFS,ENTERPRISE SPACE SEC 50-99 USE,,23.90,
KA-KL4859AAKFS,TOTAL SPACE SEC 10-14USER 1YR,,38.72,
KA-KL4863AAKDR,KES SEL 10-14 NODE 2YR RNWL,,31.43,
KA-KL4863AAKDS,ENDPT SEC BSNS SEL 2 YR LIC,,45.50,
KA-KL4863AAKFS,ENDPT SEC STD 10-14U 1 YR,,30.01,
KA-KL4863AAKTR,BSELECT ED 10-14 NODE 3YR MNT,,41.91,
KA-KL4863AAMFR,ENDPOINT SECURITY BUS SEL,,19.93,
KA-KL4863AANFS,BUSINESS SPC SEC STD,,26.09,
KA-KL4863AAPDR,ENDPOINT SEC 2 YR,,24.52,
KA-KL4863AAPFR,ENDPOINT SELECT 1 YR RNWL,,16.36,
KA-KL4863AAPFS,KSE ENDPOINT SEC BUS SELECT ED,,23.07,
KA-KL4863AAQFR,ENDPOINT SECURITY BSEL RNWL,,18.55,
KA-KL4863AAQFS,ENDPOINT SECURITY BSEL,,29.28,
KA-KL4863AAQTR,KA ENDPNT SEC 50-99 3 YR RENWL,,26.32,
KA-KL4863AARFL,ENDPNT SEC FOR BUS PLU 1YR RNW,,15.24,
KA-KL4863ACEDS,ENDPT SEC BUS SEL 5LIC 2 YR,,148.79,
KA-KL4863ACEFR,KASPRSKY ENDPNT SEC RENWL,,113.65,
KA-KL4863ACEFS,ENDPT SEC BUS SELCT 5 LIC 1 YR,,113.65,
KA-KL4863ACETS,ENDPOINT SEC BUS SEL 5U 3YR,,200.52,
KA-KL4863ACKDS,ENDPOINT SECURITY BUSSEL 10U2Y,,272.19,
KA-KL4863ACKFS,Endpoint Security for Business,,179.43,
KA-KL4863ACKTS,ENDPOINT SEC BUS SEL 10U 3YR,,415.80,
KA-KL4863ACPDS,ENDPT SEC BUS SELECT 25LIC 2YR,,515.10,
KA-KL4863ACPFR,KSE ENDPT SEC BUS SLCT 25 NDE,,418.23,
KA-KL4863ACPTS,BssSelect - 25 Lic 3YR,,696.21,
KA-KL4867ACKFS,KES SEC BUS ADV 10 NODES,,310.50,
KA-KL4867ACPDS,ENDPOINT SECURITY ADV 25U2YR,,904.48,
KA-KL4867ACPFS,ENDPOINT SEC BUS ADV 25U 1Y,,591.79,
KA-KL4867ACPTS,ENDPOINT SEC BUS ADV 25U 3YR,,"1,164.40",
KA-KL4869AAKDS,TOTAL SEC FOR BUS - 2 YR,,100.30,
KA-KOS905121,Small Office Security - 1 Serv,,135.69,
KA-KOS910121,Small Office Security - 1 Serv,,313.04,
KAKL1154ACEFS,AV 2014 US ED 5 DT 1YR,,,
KS-KL4869AAKDS,TLT SCRTY FOR BUS 10-14 2 YRS,,,
MB-MP01615,MakerBot PLA Filament Cartridg,,34.61,
MB-MP02915,MAKERBOT TRUE GRAY ABS,,38.63,
MB-MP03250,MakerBot PLA Filament - True B,,38.94,
MB-MP03257,MAKERBOT PLA FILAMENT TRUE BLA,,40.50,
MB-MP04952,MakerBot Replicator 2X,,"2,047.77",
MB-MP05775,MAKERBOT TRUE BLACK,,44.35,
MC-AAH13EMB5RAA,All Access 2013 - Household,,109.22,
MC-AAI13EMB1RAA,All Access 2013 - Individual,1.00,76.20,76.20
MC-AVDYFMAAAA,GOLD ACTIVE VIRUS DEFENSE SUPP,,23.94,
MC-AVM85M,VirusScan for Mac - Media Kit,,24.78,
MC-AVMCDEAAAA,VIRUSSCAN FOR MAC LIC/SUP,,24.43,
MC-AVMYFMAAAA,MCAFEE VIRUSSCAN FOR MAC 1YR G,,,
MC-DFFYFMAAAA,ENDPT ENCRPTN FILES 1 YR GOLD,,,
MC-EPOCDEAAAA,EPOLICY ORCHESTRATOR 1Y PRI+,,17.13,
MC-EPSCDEAAAA,MFE ENDPT PROT P:1 GL [P+],,38.49,
MC-EPSCDEAACI,ENDPT PROT STE W/1Y GLD,,25.05,
MC-EPSYFMAACI,ENDPT PROT STE W/1Y GLD RNWL,,9.23,
MC-LXSCDEAABA,VirusScan Enterprise for Linux,,13.96,
MC-MAV12EMB1RAA,ANTIVIRUS PLUS 1U 2012,,4.00,-0.01
MC-MAV13EMB1RAA,Antivirus Plus 2013,,54.51,
MC-MAV14EMB3RAA,MFE AV PLS 3PC 2014,,52.68,
MC-MAV15EBF3RAA,Antivirus Plus 2015 1 User/3 P,,13.00,
MC-MAV15EMB1RAA,McAfee Antivirus Plus 2015 - 1,,5.00,
MC-MAV15EMB3RAA,McAfee Antivirus Plus 2015 - 3,,13.00,
MC-MIS12EMB1RAA,McAfeeInternet Security 2012,,8.00,
MC-MIS12EMB3RAA,McAfee Internet Sec 2012 3U,25.00,10.00,250.00
MC-MIS13EMB1RAA,McAfee Internet Security 2013,,7.00,
MC-MIS14EBF3RAA,nternet Security 2014 1 user/3,,11.00,
MC-MTP14EBF3RAA,Total Protection 2013 - 3 User,3.00,25.00,75.00
MC-MTP15EAM3AA,otal Protection 2015 1 user/3,,17.00,
MC-TSBECEHAAA,TOTAL PROTECTION SVC CUPG,,20.20,
MC-TSBECEHAEA,MCAFEE ENDPNT SEC 251-500U 1YR,,12.26,
MC-TSBFCEAAAA,2YR GOLD SAAS EP PROT 2-25U,,35.67,
MC-TSEFCEHAAA,TOTAL PROT SVC EXTND COMP UPG,,38.22,
Micorsoft Word ESD,Micorsoft Word ESD 2013,,,
MS- P7306451,WINDOWS SERVER STD. 2008 R2 SP,,,
MS-02105429,OLP OFFICE STD LIC/SA,,492.83,
MS-02105624,OFFICE 2007 SA,,182.90,
MS-02106145,OFFICE 2003 STD,17.00,25.00,425.00
MS-02106153,OFFICE 2003 STD UPG,,50.00,
MS-02107261,OLV OFFICE STANDARD LIC/SA,,507.19,
MS-02107668,OFFICE 2007 STD UPG,,170.00,
MS-02107746,OFFICE 2007 STD,35.00,119.58,"4,185.42"
MS-02107856,OFFICE 2007 STD OLP,,324.43,
MS-02108717,OFFICE 2007 STD M,,120.00,
MS-02108717HOLD,OFFICE 2007 STD M,,49.33,
MS-02109707,OLP OFFICE STANDARD 2010,,315.85,
MS-02109729,GOVT OLP OFFICESTD 2010 NL LIC,,258.34,
MS-02110257,OLP OFFICE 2013 STANDARD,,315.54,
MS-02110278,OLP GOV OFFICE 2013 STANDARD,,248.68,
MS-05903750,OLP WORD 2013 LIC/SA,,242.43,
MS-05904263,WORD 2003,,85.00,
MS-05905442,WORD 2007 UPG,,60.00,
MS-05905468,WORD 2007,,115.00,
MS-05906085,WORD 2007-LICENSE,,184.62,
MS-05907628,Word 2010,,155.00,
MS-05907628FBA,MICROSOFT WORD 2010,,155.00,
MS-05907628TG,WORD 2010/2013 DOWNLOAD,,,
MS-05907701,WORD 2010 AE DVD,,59.00,
MS-05907970,OLP WORD 2010 SNGL NL,,155.65,
MS-05908267,MS WORD 2013,,83.56,
MS-05908400,WORD 2013 PKC HOME USE,15.00,51.24,768.59
MS-05908400FBA,WORD 2013 PKC HOME USE,,42.50,
MS-05908637,OLP WORD 2013 OB SGL NL,,153.74,
MS-06503345,EXCEL 2013 OPEN BUS LIC/SA,,244.89,
MS-06503866,EXCEL 2003,,130.00,
MS-06504914,EXCEL 2007 UPG,,66.00,
MS-06504940,EXCEL 2007,,100.00,
MS-06505380,EXCEL '07 LICENSE,,184.62,
MS-06506962,Excel 2010,,160.00,
MS-06506962FBA,EXCEL 2010,,160.00,
MS-06506962TG,EXCEL 2010/2013 DOWNLOAD,,,
MS-06507304,EXCEL 2010 LICENSE OLP,,154.95,
MS-06507326,EXCEL 2010 OPEN GOVERNMENT,,127.30,
MS-06507515,MS EXCEL 2013,3.00,90.20,270.59
ms-06507516,Excel 2013 with MEDIA,2.00,85.00,170.00
MS-06507648,EXCEL 2013 PKC HOME USE,11.00,53.70,590.74
MS-06507648FBA,EXCEL 2013 PKC HOME USE,,41.23,
MS-06508133,OLP EXCEL 2013 LIC,,153.74,
MS-07002557,WORKS 8.5,1.00,,
MS-07601866,OLP PROJECT STND 2013 LIC/SA,,748.87,
MS-07602627,PROJECT 2003 STD,,120.00,
MS-07603714,PROJECT 2007 STD UG,19.00,115.00,"2,185.00"
MS-07603745,PROJECT 2007,,250.00,
MS-07603968,PROJECT 2007 OLP,,424.93,
MS-07604667,PROJECT 2010 OLP,,455.20,
MS-07604843,Project Standard 2010,1.00,310.00,310.00
MS-07604843FBA,MICROSOFT PROJECT STANDARD 201,,275.56,
MS-07604843TG,PROJECT 2010/2013 STD DOWNLOAD,,,
MS-07605068,MS PROJECT 2013,566.00,339.63,"192,230.20"
MS-07605068FBA,MICROSOFT PROJECT 2013 KEY CAR,24.00,332.12,"7,970.90"
MS-07605270,PROJECT STD 2013 OPEN GOV,,381.53,
MS-07605334,OLP PROJECT 2013 STANDARD,,472.11,
MS-07702524,OLP ACCESS 2013 L/SA,,248.22,
MS-07702870,ACCESS 2003,,160.00,
MS-07703758,ACCESS 2007 UPG,,65.00,
MS-07704195,ACCESS 2007 LICENSE ONLY,,163.69,
MS-07705753,Access 2010,3.00,200.00,600.00
MS-07705753FBA,MICROSOFT ACCESS 2010,,200.00,
MS-07706126,OLP ACCESS 2010 SNGL NL,,157.80,
MS-07706368,MS ACCESS 2013,122.00,87.75,"10,705.45"
MS-07706368FBA,MICROSOFT ACCESS 2013 KEY CARD,,77.58,
MS-07706369,MS ACCESS 2013 W/ MEDIA,,81.00,
MS-07706674,OLP ACCESS 2013,,157.41,
MS-07901869,POWERPOINT 2003,,100.00,
MS-07901879,POWERPOINT 2003 UPG,,40.00,
MS-07902823,POWERPOINT 2007 UPG,,60.00,
MS-07902840,POWERPOINT 2007,,115.00,
MS-07903660,POWERPOINT 2007 LICENSE,,184.62,
MS-07905186,PowerPoint 2010,81.00,92.63,"7,503.43"
MS-07905186FBA,MICROSOFT POWERPOINT 2010,,92.64,
MS-07905186TG,POWERPOINT 2010/2013 DOWNLOAD,,,
MS-07905565,OLP PWRPOINT 2010 SNGL NL VLIC,,155.65,
MS-07905718,Powerpoint for Mac 2011,,131.56,
MS-07905835,MS POWERPOINT 2013,,89.00,
MS-07906205,OLP POWERPOINT 2013,,155.65,
MS-12500214,VIS STUDIO 08 FOUN TEAM LIC/SA,,493.18,
MS-12500858,Visual Studio Team Foundation,,417.44,
MS-12500859,Visual Studio Team Found UPG,,337.04,
MS-12500939,VS 2010 TEAM FND SVR LIC,,322.30,
MS-12501058,VS TEAM FOUNDATION SVR 2012,118.00,54.29,"6,405.63"
MS-12501180,VS 2012 TEAM FOUNDATION SVR-LI,,328.79,
MS-12501188,OLP GOV VS TEAM FNDTN SVR,,268.89,
MS-12501261,VISUAL STUDIO TEAM FND SVR 13,300.00,234.83,"70,449.37"
MS-12501366,OLP VS TEAM FOUND SVR 2013,,328.46,
MS-12501380,VS TM FNDTN SVR 2013 OLP GOV,,258.84,
MS-12600371,VIS STUDIO 08 TEAM FND U CALSA,,,
MS-12601409,Visual Studio Team Foundation,,421.35,
MS-12601492,VSTEAMFNDTNSVRCAL 2010 SNG USR,,328.79,
MS-12601597,VSTEAMFNDTNSVRCAL 2010 USR PRM,,260.54,
MS-12601918,OLP VSTUDIO 2013 TM FOUND UCAL,,373.52,
MS-12602004,OLP VIS STDIO 13 TM FND DEVCAL,,328.79,
MS-12700012,VISUAL STUDIO 2005 STD ED,,190.00,
MS-12700021,VISUAL STUDIO 2005 STD UPG,,159.00,
MS-12700166,VISUAL STUDIO 2008 STD,,200.00,
MS-12700166CD,VISUAL STUDIO 2008 STD CD,,95.00,
MS-16404130,PUBLISHER 2007,,90.00,
MS-16404669,PUBLISHER 2007-LICENSE,,128.37,
MS-16406233,Publisher 2010,,121.57,
MS-16406233FBA,MICROSOFT PUBLISHER 2010,,121.56,
MS-16406233TG,PUBLISHER 2010/2013 DOWNLOAD,,,
MS-16406723,OLP PUBLISHER 2010,,110.71,
MS-16406745,GOVT OLP PBLSHR 2010 NL LCL VL,,89.72,
MS-16406987,MS PUBLISHER 2013,68.00,82.39,"5,602.46"
MS-16406987FBA,MS PUBLISHER 2013 KEY CARD,105.00,81.76,"8,584.80"
MS-16406988,MS Publisher 2013 w/ Media,42.00,81.00,"3,402.00"
MS-16407297,OLP PUBLISHER 2013,,109.36,
MS-16407318,PUBLISHER 2013 OPEN GOV,,88.07,
ms-21218001,,,,
MS-22800683,SQL SVR 2000 STD 5 CAL,,660.00,
MS-22800683LP,SQL SVR 2000 5 CAL,2.00,,
MS-22800683U1,SQL SVR 2000 1 USER CAL,4.00,,
MS-22800684,SQL SVR 2000 10 CAL,,"1,300.00",
MS-22801079,SQL SVR 2000 1 PROC,1.00,"2,152.12","2,152.12"
MS-22801079LP,SQL SVR 2000 1 PROC,3.00,,
MS-22804013,SQL SVR 2005 STD X64  W/5 CAL,,"1,200.00",
MS-22804019,SQL 2005 STD 64BIT 1PROC,,"4,150.00",
MS-22804023,SQL SVR 2005 STD W/ 5 CAL,,"1,200.00",
MS-22804023CD,SQL SVR DVD PROMO CD RET,,425.00,
MS-22804023O,SQL SERV 05 STD 5 CAL OEM,,"1,300.00",
MS-22804026,SQL SVR 2005 STD 1 PROC LIC,2.00,"3,550.00","7,100.00"
MS-22804026LP,SQL SVR 2005 STD 1 PROC LIC,3.00,,
MS-22804628,SQL SVR 2005  SERVER LIC/SA,,"1,111.11",
MS-22804676,SQL SVR 2008 R2 OP GOV LIC+SA,,934.18,
MS-22808394,SQL SVR 2008 10 CAL,,"2,200.00",
MS-22808394D10,SQL SVR 2008 10 DEVICE CALS,,,
MS-22808394P,SQL SVR 2008 STD 10 CAL PROMO,62.00,343.91,"21,322.41"
MS-22808394U10,SQL SVR 2008 10 CAL ADD ON,,,
MS-22808394U10R2,SQL SERVER 10CAL ADD ON PACK,,,
MS-22808404,SQL SVR STD EDTN 2008 DVD1,,"2,300.00",
MS-22808688,SQL SVR 2008 STD-LICENSE,,782.15,
MS-22808710,SQL SVR STD 2008 OPEN GOV LIC,,,
MS-22809175,SQL 2008 R2 STANDARD PROC LIC,2.00,"5,900.00","11,800.00"
MS-22809176,SQL 2008 R2 STANDARD 10C ACAD,,450.00,
MS-22809180,SQL 2008 R2 10CAL,2.00,"2,284.70","4,569.39"
MS-22809180S30R2,SQL SERVER 2008 R2 STAN 30 CAL,,,
MS-22809421,SQL SVR STD 2008 R2 OLP,,758.05,
MS-22809421BDL5,SQL SVR 2008 R2 STD LIC + 5CAL,,,
MS-22809435,GOV SQL SVR STD 2008R2,,622.76,
MS-22809842,SQL 2012 STANDARD 10 CAL,60.00,"1,573.11","94,386.74"
MS-22809842FBA,MICROSOFT SQL SERVER STD EDITI,5.00,"1,573.11","7,865.55"
MS-22809842HOLD,SQL 2012 STANDARD 10 CAL,,"1,804.72",
MS-22809842U10,SQL SVR 2012- 10USER CAL,78.00,510.29,"39,802.23"
MS-22809842U10FBA,SQL SERVER 2012 STD 10 CAL,5.00,,
MS-22809842U10HOLD,SQL SVR 2012- 10USER CAL,,550.94,
MS-22809884,SQL SERVER 2012 STANDARD OLP,,762.37,
MS-22809884BDL5,SQL SVR 2012 STD 5CAL BDL,,,
MS-22809898,SQL SVR STD 12 GOV,,604.18,
MS-22810255,SQL SERVER 2014 STANDARD,10.00,"2,347.50","23,474.99"
MS-22810255FBA,MICROSOFT SQL SERVER STD EDITI,,"1,961.78",
MS-22810255U10,SQL SERVER 2014 - 10 CAL PK,,,
MS-22810344,SQL SERVER 2014 STANDARD OLP,2.00,747.50,"1,495.00"
MS-22810358,SQL SVR STD 2014 OPEN GOV,,599.47,
MS-26904508O,OFFICE XP PRO OEM,,60.00,-0.01
MS-26905577,OFFICE 2013 PRO PLUS LIC/SA,,682.97,
MS-26906738,OFFICE 2003 PRO,1.00,50.00,50.00
MS-26906738O,OFFICE 2003 PRO OEM,37.00,22.00,814.00
MS-26906752,OFFICE 2003 PRO UPG,3.00,70.00,210.00
MS-26907387,OFFICE 2003 PRO,,,
MS-26908703,OFFICE 2003 PRO SP1 OEM 3PK,,58.47,
MS-26909046,OLV OFFICE PRO PLUS LIC/SA 1YR,,271.80,
MS-26909050,OPEN VALUE OFF PRO PLUS LIC/SA,,821.45,
MS-26909849,OFFICE 2003 PRO SP1 OEM,,291.74,
MS-26911093,OFFICE 2007 PROF UG,,203.64,
MS-26911094,OFFICE PRO 2007,39.00,176.31,"6,876.00"
MS-26911618,OFFICE 2007 PRO OEM,3.00,120.00,360.00
MS-26911618DL,OFFICE 2007 PRO OEM DOWNLOAD,,165.00,
MS-26911936,OFFICE 2007 PRO OEM 3 PCK LIC,,869.46,
MS-26914834,OFFICE 2010 PRO KEY,42.00,268.10,"11,260.13"
MS-26914834DL,OFFICE 2010 PRO KEY DL,,195.00,
MS-26914964,Office Professional 2010,415.00,325.26,"134,983.70"
MS-26914964ESD,Office 2010 Pro ESD,,,
MS-26914964FBA,MICROSOFT OFFICE PRO 2010 2PC,,323.33,
MS-26914964HOLD,Office Professional 2010,,256.70,
MS-26914964LENOVO,Office 2010 Pro Lenovo Card,,248.92,
MS-26914964O,Office Professional 2010 - OEM,,315.00,
MS-26914964P,OFFICE PROFESSIONAL PLUS 2010,,,
MS-26914964TG,OFFICE 2010/2013 PRO DOWNLOAD,,,
MS-26916094,OFFICE 2013 PRO,"2,617.00",240.66,"629,818.80"
MS-26916094O,OFFICE 2013 PRO OEM,,245.00,
MS-26916094P,OFFICE 2013 PRO PLUS,,95.00,
MS-26916342,MICROSOFT PRO 2013 SPANISH,721.00,145.00,"104,545.00"
MS-2VG00001,Small Business Server 2011 Ess,,393.08,
MS-2VG00365,SBS 2011 ESSENTIALS W/SA LIC,,637.03,
MS-2VG00371,SBS ESSNTLS 2011 LIC,,424.40,
MS-2XG00001,SBS 2011 PREM X64 5 CAL ADD ON,,925.00,
MS-2XG00153,SBS 2011 PREM X64 OEM 5 CAL,,"1,200.00",
MS-2XG00438,OLP SBS PREM 2011 SVR W 5CAL,,"1,198.54",
MS-2XG00479,GOV OLP SBS 2011 PREM SVR 5CAL,,952.50,
MS-2YG00342,Small Business Server 2011 Pre,8.00,295.63,"2,365.00"
MS-2YG00361,SBS 2011 ADD 1 CAL,,63.50,
MS-2YG00380,SBS 2011 ADD 5U CAL,1.00,310.04,310.04
MS-2YG00860,Small Busi Svr 2011 Add On CAL,,66.63,
MS-2YG00873,SBS PREMIUM USR CAL,,66.63,
MS-2YG01476,OLP SNGL LANG WIN SBS PREM ADD,,343.19,
MS-2YG01479,OLP SNGL LANG WIN SBS PREM ADD,,342.32,
MS-2YG01998,SBS PREM ADD ON CAL 20 PACK,,"1,350.13",
MS-2YG02001,SBS 2011 PREM CALS 20 USERS,,"1,333.61",
MS-31202201,EXCHANE SVR STD W/SA,,899.91,
MS-31202637,EXCHG SVR 2003 5 CAL LIC PK,1.00,,
MS-31203040,OLV EXCHNG SVR 1YR ACQ YR1,,151.66,
MS-31203459,EXCHANGE SERVER '07 STD 5CALS,,400.00,
MS-31203459FBA,MICROSOFT EXCHANGE SERVER 2007,1.00,400.00,400.00
MS-31203545,EXCHANGE SVR 2007 STD (LIC),,493.54,
MS-31203545BDL5,EXCHNG SVR 07 STD LIC 5 CAL,,493.54,
ms-31203977,Exchange Svr 2010 W/ 5 CAL RTL,3.00,768.04,"2,304.13"
MS-31203977FBA,MICROSOFT EXCHANGE SERVER 2010,,768.04,
ms-31203977HOLD,Exchange Svr 2010 W/ 5 CAL RTL,,804.34,
MS-31204048,EXCHNG SVR STD 2010 OLP,,600.54,
MS-31204261,OLP EXCHANGE 2013 STANDARD,,593.19,
MS-31204275,OLP EXCHANGE SVR STD 2013 GOV,,472.83,
MS-34001230,VISUAL FOXPRO 9.0 PRO UPG,,290.17,
MS-34001231,VISUAL FOXPRO 9.0 PRO,,275.00,
MS-34001247,OLP VISUAL FOXPRO 9 GOV,,227.28,
MS-35900734,SQL SERVER DEVICE CAL & SA,,265.88,
MS-35901004,SQL CAL ENG LIC/SAPK OLP NL,,170.53,
MS-35901005,SQL CAL SNGL LIC/SA OLP NL USR,,208.49,
MS-35905034,SQL SERVER 2008 DEVICE CAL,,,
MS-35905037,SQL SVR 2008 STD USER CAL,,142.77,
MS-35905081,SQL SVR 2008 OPEN GOV USER CAL,,,
MS-35905353,SQL CAL 2008R2 SNGL NL DVCCAL,,138.99,
MS-35905356,OLP SQL CAL 2008R2 SNGL NL USR,,138.99,
